WPM,Condition,User
90,Silence,1
63,Silence,2
67,Silence,3
59,Silence,4
65,Silence,5
80,Silence,6
62,Silence,7
80,Silence,8
85,Silence,9
72,Silence,10
54,Silence,11
51,Silence,12
48,Silence,13
44,Silence,14
66,Silence,15
56,Silence,16
83,Silence,17
46,Silence,18
59,Silence,19
61,Silence,20
95,Silence,21
78,Classical,1
59,Classical,2
89,Classical,3
73,Classical,4
59,Classical,5
83,Classical,6
68,Classical,7
80,Classical,8
67,Classical,9
65,Classical,10
58,Classical,11
61,Classical,12
49,Classical,13
51,Classical,14
62,Classical,15
78,Classical,16
79,Classical,17
60,Classical,18
54,Classical,19
49,Classical,20
85,Classical,21
74,Pop,1
53,Pop,2
74,Pop,3
53,Pop,4
47,Pop,5
83,Pop,6
57,Pop,7
76,Pop,8
67,Pop,9
90,Pop,10
67,Pop,11
56,Pop,12
59,Pop,13
53,Pop,14
52,Pop,15
67,Pop,16
74,Pop,17
57,Pop,18
57,Pop,19
65,Pop,20
84,Pop,21
